id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
4a162748-bd39-4346-a898-52de5532ec17,global.international,resell,,,high,medium,6,Porkbun LLC,25/06/2015 12:09,25/06/2026 12:09
294a983c-1918-4f85-a9ac-686899b6a5b7,generals.global,available,59.99,,medium,low,8,name.com,,
19edc0ac-f92c-430d-baa4-80678b31f0ca,generic.world,resell,,,medium,low,7,Squarespace Domains II LLC,04/08/2024 17:00,04/08/2027 17:00
a38c45a1-1ff4-4503-861a-7892964eef04,generals.xyz,resell,,,medium,low,8,West263 International Limited,25/05/2021 23:22,25/05/2027 23:59
b2c40123-e115-4c1c-a3c4-ab4a5a127b1f,variety.agency,resell,,,high,low,7,"Global Domains International, Inc. DBA DomainCostClub.com",14/02/2026 15:15,14/02/2027 15:15
e04282b1-148a-4e44-a469-103f053d8a2d,general.zone,available,8.98,51.98,medium,low,7,namecheap,,
2a6b3d5c-a305-4071-84ea-1030c7997e96,generals.co,resell,,,medium,low,8,"GoDaddy.com, LLC",16/09/2022 20:25,16/09/2026 23:59
b167bb51-db1b-4efe-9756-7708a59a9208,generals.enterprises,available,5.99,,medium,low,8,name.com,,
b10a4ced-aaa4-4b87-baa8-d6a8da62e1b7,open.services,resell,,,high,medium,4,Porkbun LLC,10/09/2017 10:12,10/09/2026 10:12
722f77d0-e256-4668-b309-70e7bafb0f3f,general.space,premium,1625,6500,medium,low,7,namecheap,,
4b4a4e37-d47c-4cb4-9f79-114fb10c6b4d,generals.ltd,available,9.99,,medium,low,8,name.com,,
ec27b751-a9ab-4376-a608-34bd4a1d356b,inclusive.xyz,resell,,,low,low,9,West263 International Limited,28/03/2019 18:58,28/03/2028 23:59
1918ee2e-f04f-4c28-ae56-c88f0cf0a6a9,universal.city,resell,,,high,high,9,Porkbun LLC,30/11/2019 00:44,30/11/2026 00:44
ac63486c-b86a-4514-94f5-e17e27bf8010,generals.systems,available,21.99,,medium,low,8,name.com,,
135a7734-13a2-402c-ade1-5b09446574d2,generals.center,available,7.99,,medium,low,8,name.com,,
55a665bd-81d4-4e61-b3d1-64bac40da35a,generic.guide,available,10.99,57.99,medium,low,7,name.com,,
7c227c5b-a1ac-49be-a8c1-e292eee052a7,usual.ryukyu,available,22.98,,high,low,5,namecheap,,
e04fae92-6651-4385-bf5b-6a63d0e1e1ae,generals.nexus,available,15.98,,medium,low,8,namecheap,,
d65b92e4-64aa-46cb-ae70-6f03911c8190,general.world,resell,,,medium,low,7,Squarespace Domains II LLC,12/01/2017 01:38,12/01/2027 01:38
4c15cf77-e6dc-4899-ad2c-98671f571575,generals.community,available,14.99,,medium,low,8,name.com,,
85dd17b8-9bd5-4a58-bc17-3886d0c0c22b,primary.space,premium,875,3500,high,low,7,namecheap,,
f6e00d38-0405-45ff-88b6-c6c678939570,generals.rent,available,29.99,,medium,low,8,name.com,,
5a68e078-9837-4e96-9624-da234b52cec5,general.observer,premium,1000,1000,medium,low,7,name.com,,
d277088c-c60d-4234-81f0-73754b26d374,generals.degree,available,14.99,,medium,low,8,name.com,,
faa379a3-6900-46c9-b690-1e3577bc9e39,generic.gmbh,available,47.98,56.98,medium,low,7,namecheap,,
b9482904-4058-4d47-afa4-5bca4eea97a4,generals.band,available,29.99,,medium,low,8,name.com,,
31e4801d-ac88-49a7-a011-06a50f2e57ee,inclusive.gmbh,available,45.99,45.99,low,low,9,namesilo,,
96920c8e-4f81-4ac3-b2d8-4fa52f3c0d8f,universal.college,resell,,,high,high,9,"Go Daddy, LLC",01/02/2026 17:00,01/02/2027 23:59
7ba48eb6-c540-4ddf-942c-7236e6a6c523,generals.uk,available,9.98,,medium,low,8,namecheap,,
9b7a41fe-cb6f-4624-b7ea-c5990a7e5d08,general.holdings,available,67.98,81.98,medium,low,7,namecheap,,
0dc4529d-945b-445a-8ea2-e6f75caac637,general.trading,premium,1250,1250,medium,low,7,name.com,,
11159e2b-9b96-4d91-9ed5-ce912efb61bd,generals.lgbt,available,19.99,,medium,low,8,name.com,,
62065215-ba01-44aa-9d22-bce3025a03b1,generals.cash,available,17.99,,medium,low,8,name.com,,
a84f25d2-7fc6-47f8-8808-633ae3df27eb,generals.engineering,available,11.99,,medium,low,8,name.com,,
86039875-866a-4876-bafe-cc5264a96658,generals.foundation,available,5.99,,medium,low,8,name.com,,
fd1bf76e-6c41-4fec-8a05-81b991e81d40,generals.lat,available,1.99,,medium,low,8,name.com,,
867911f2-c779-4974-94d6-97526492d52c,general.report,premium,26,26,medium,low,7,namecheap,,
53a4d99d-b1ee-4eba-b2eb-6b2e5df4ff74,generic.maison,available,24.99,83.99,medium,low,7,name.com,,
b8f07e0d-60ad-4cb4-bad3-9f965cad0a5e,generic.fail,available,14.99,46.99,medium,low,7,name.com,,
60793ec9-c827-4436-9d8a-4adac97ce614,global.space,premium,3500,14000,high,medium,6,namecheap,,
0a72bec9-13fa-4bd8-b252-98b5e12c6712,complete.lat,available,1.8,40.98,medium,low,8,namecheap,,
cb6367b6-8253-4be4-a18d-77c61fd23686,generals.pink,available,14.99,,medium,low,8,name.com,,
fe0bd854-2b13-40ff-addd-9ea2ae25a2f2,generic.army,available,17.48,48.98,medium,low,7,namecheap,,
0d880cbf-bcd7-46c7-b969-7f643998b240,generals.gratis,available,26.99,,medium,low,8,name.com,,
e520ab8f-aba2-48c7-9482-17cfa008360e,generals.game,available,349.99,,medium,low,8,name.com,,
03c04b83-d5b6-473c-925b-4e437fecb652,inclusive.voting,available,1398,1448,medium,low,9,namecheap,,
fecbdbc0-1fa0-4803-91cd-2f9e0b8016ad,diverse.courses,available,1.98,50.98,medium,low,7,namecheap,,
55dd3224-2f72-400c-b738-37a0ee156185,elementary.international,available,9.48,40.48,medium,low,10,namecheap,,
4906ac8a-39b3-4376-95e1-c0ee4c78412a,diverse.schule,available,19.99,41.99,medium,low,7,name.com,,
a521fd28-7861-4e86-a032-420ec6646089,diverse.bz,available,21.98,26.98,medium,low,7,namecheap,,
e86e3954-a03d-4be3-8159-df19b8edfecb,general.gmbh,available,47.98,56.98,medium,low,7,namecheap,,
66c50236-618b-4095-b06f-db90f31ddbe7,eclectic.space,resell,,,medium,low,8,UM DOMAINS PTE. LTD.,04/05/2026 01:37,04/05/2027 01:37
da98ad06-9225-49ff-98c4-502458790719,inclusive.supplies,available,24.99,24.99,low,low,9,namesilo,,
3da06181-b924-4d5c-99a7-652ec7004791,generals.ltda,available,46.98,,medium,low,8,namecheap,,
348c5c4d-1ff6-4f45-ba9a-c7fcab055d60,open.zone,resell,,,high,medium,4,"Chengdu West Dimension Digital Technology Co., Ltd.",02/12/2019 23:21,02/12/2026 23:21
26c12832-8903-4a47-951c-d669f056c79a,inclusive.democrat,available,5.98,41.48,medium,low,9,namecheap,,
2fea0e28-2c22-42a4-9baa-01164f414c07,generals.dentist,available,76.99,,medium,low,8,name.com,,
dd144066-1c83-4dff-a92e-b045734f9d29,generic.institute,available,5.98,37.98,medium,low,7,namecheap,,
895ca655-44a8-4b5b-8975-a3cf6c12d93e,generals.bio,available,9.99,,medium,low,8,name.com,,
e6716094-c0cc-4816-b42e-ab3a64dc2c18,generals.fan,available,11.99,,medium,low,8,name.com,,
79886eef-3415-418b-9063-96abafcbaf33,diverse.my,premium,65.96,94.22,medium,low,7,name.com,,
73175254-c981-4e4d-9627-bbe46b5929a8,thorough.org,resell,,,low,low,8,"Network Solutions, LLC",09/12/2018 14:30,09/12/2026 14:30
91d6eabb-0656-4252-b594-a8f07fe78ccd,diverse.trade,premium,625,81.25,medium,low,7,name.com,,
48796dc5-fe53-4b30-8db6-944c02911d55,inclusive.ing,premium,437.5,437.5,low,low,9,name.com,,
c780e900-73fa-4ca8-8d35-d0986ad6ab06,generic.forum,available,1.8,49.98,medium,low,7,namecheap,,
dd7f3421-83cd-4f55-9eb7-6d4ab29ec60d,generals.kim,available,14.99,,medium,low,8,name.com,,
62e08093-6838-452f-84e6-4dc1ef5a86c8,inclusive.navy,available,41.99,41.99,low,low,9,namesilo,,
d69f7102-87f4-4d6c-91ff-0e0539235e41,inclusive.sbs,premium,68.43,147.2,medium,low,9,namesilo,,
d6ffd6a0-acf6-4e51-a001-57cebf59f464,generals.guru,available,3.99,,medium,low,8,name.com,,
f6d09193-f652-4c03-844d-42c612610885,core.group,resell,,,medium,medium,4,Porkbun LLC,23/08/2017 08:15,23/08/2026 08:15
4a24959f-8e71-411b-a00a-0ebf98e9f610,generals.new,available,549.99,,medium,low,8,name.com,,
46d5b615-18f5-41cf-be2e-5dd9cc6fa8e6,general.pw,premium,1872.92,3745.83,medium,low,7,name.com,,
dcd06f3d-df88-4c03-941e-ababce6a1b9d,generals.services,available,15.99,,medium,low,8,name.com,,
6aa8ab8f-fffe-489f-bdd8-af42cceaa4f2,generals.tv,available,40.98,,medium,low,8,namecheap,,
de5102e6-0dd2-439b-9f04-89765cce782f,inclusive.cv,available,4.99,9.99,low,low,9,namesilo,,
a5958558-bca4-417f-9d20-017fcb2eec64,generic.fashion,available,33.98,45.98,medium,low,7,namecheap,,
c91beb71-6747-4082-b66c-6a08626c6d30,generals.tours,available,9.99,,medium,low,8,name.com,,
67ae7b90-4b08-4ee0-beb4-c638f6bb5cea,generals.kids,available,9.99,,medium,low,8,name.com,,
3031a063-fe4c-4dd7-8990-926378d9ec54,generals.watch,available,4.99,,medium,low,8,name.com,,
8b65e4f1-e7ca-4491-b76c-aa550c51a1b5,generals.bargains,available,21.99,,medium,low,8,name.com,,
884e8907-5b00-4455-a83a-4f04b9217e6c,generals.villas,available,19.99,,medium,low,8,name.com,,
44d38cee-138b-4a27-901a-8f2440071e42,diverse.info,resell,,,medium,low,7,Netregistry Wholesale Pty Ltd,01/10/2025 15:15,01/10/2027 15:15
bb827728-0610-4508-95cd-39b500897551,varied.shop,premium,625,,medium,low,6,name.com,,
8747c503-76e1-4339-aa21-0d1d9f5eb7a7,generals.cab,available,19.99,,medium,low,8,name.com,,
57339b44-7fca-4f8b-8bc6-bd2e8d176684,generals.delivery,available,8.99,,medium,low,8,name.com,,
3b0fff62-2df5-4d9f-a335-43b9a96a33eb,generic.archi,available,14.98,132.98,medium,low,7,namecheap,,
da3dd29d-0513-4475-a672-809e0650619c,generic.market,available,46.98,55.98,medium,low,7,namecheap,,
c39c3d9e-bbf8-48b0-a25c-4835232b67e0,diverse.lgbt,available,11.98,93.98,medium,low,7,namecheap,,
073a7600-078e-4178-a194-7884a53ebe94,diverse.army,available,17.48,48.98,medium,low,7,namecheap,,
5263a588-03da-4301-a267-6bad1d9c69f7,general.sarl,available,6.98,8.98,medium,low,7,namecheap,,
a584ee96-f815-425f-8697-57c95fc9222e,generals.osaka,available,39.99,,medium,low,8,name.com,,
dde38ed1-1f49-4930-8765-4eccdb86a002,generic.mba,available,11.98,49.98,medium,low,7,namecheap,,
f4bcd9b9-bd98-4bbb-a81e-52c10edd5e8a,generals.rest,available,19.99,,medium,low,8,name.com,,
8b3c9608-a6e7-454e-9b3c-8146ce642228,inclusive.army,available,17.48,48.98,low,low,9,namecheap,,
5d58e0d5-c648-46cd-86e7-f8eff14ea525,generic.ceo,premium,248.75,248.75,medium,low,7,name.com,,
901e3c29-dbcf-4b24-82ee-9d1c7eb60303,generals.page,available,15.99,,medium,low,8,name.com,,
b7962924-e2b0-4e3c-98c6-d2d976671dd1,chief.press,available,4.99,86.99,high,low,5,namesilo,,
767a8863-9d58-4ed1-bcfe-a1ae1bd91839,generals.party,premium,437.5,,medium,low,8,name.com,,
b738da0c-8625-4b53-9e55-1fe108d95681,generals.moe,available,17.88,,medium,low,8,namecheap,,
4db27ffd-c677-4d99-9abd-7e30f362e5d1,generals.download,premium,437.5,,medium,low,8,name.com,,
7e8baedc-2f7a-4ae3-9e78-206155e3863f,generic.ski,available,39.99,86.99,medium,low,7,name.com,,
22677cc8-4580-4cc7-8ce1-c62f5bf8eb4f,generic.my,premium,66.4,94.85,medium,low,7,name.com,,
9bee56ef-77f3-4689-bf53-10d4bf757e97,diverse.tech,resell,,,medium,low,7,Xin Net Technology Corporation,07/03/2021 03:53,07/03/2027 23:59
d9fd4fc9-7ff2-4d7e-8ddc-59e9d29cf952,generals.glass,available,77.99,,medium,low,8,name.com,,
460939a9-7149-4f1f-bda8-dc6b98e83ea3,generic.gratis,available,24.98,31.98,medium,low,7,namecheap,,
732bfe3c-acb6-4022-8759-17f11944308b,generals.movie,available,69.99,,medium,low,8,name.com,,
eff77511-aec9-4543-a447-d3c051d507db,general.forex,premium,1250,1250,medium,low,7,name.com,,
ccd27476-6481-4af3-b014-a3d3275322b3,diverse.inc,premium,2015,2600,medium,low,7,namecheap,,
c430ad16-6f80-4f9c-929b-8b86aef018dd,inclusive.casa,available,1.98,17.98,low,low,9,namecheap,,
7d36a03b-060c-4241-935a-8ec21a335a0a,generals.studio,available,21.99,,medium,low,8,name.com,,
a2b5a513-3b19-4a19-a676-2478cba49001,inclusive.wtf,available,2.98,49.48,low,low,9,namecheap,,
531ed5bc-15da-4f70-9577-6d3222ed9a1c,assorted.markets,available,5.98,26.98,low,low,8,namecheap,,
030d46b2-f11e-4114-ac1d-e1cd271766dc,overall.space,premium,350,1400,high,low,7,namecheap,,
29f27203-0b65-48bc-8608-80c5445125fe,universal.space,premium,1750,7000,high,high,9,namecheap,,
816513d0-59ed-46e0-b9a6-e46b25ff2055,generals.theater,available,19.99,,medium,low,8,name.com,,
1479a6f3-adba-4756-9d34-ccf85208d1ab,generals.institute,available,9.99,,medium,low,8,name.com,,
2b646f57-b682-4aef-8aea-189720647c74,generals.xxx,available,154.98,,medium,low,8,namecheap,,
574a52f5-dc2f-4bd4-b938-4ec9ed96b3e7,diverse.name,available,8.98,9.98,medium,low,7,namecheap,,
72a59b24-e4f0-47ec-8ea9-4e542ef8350e,assortment.equipment,available,19.99,41.99,low,low,10,name.com,,
f1a39ff9-98ee-4772-9062-5ac4547610c7,general.guitars,available,108.98,159.98,medium,low,7,namecheap,,
8ebed819-ef79-4df7-a179-cc1a68a5d2c4,general.desi,available,19.98,22.98,medium,low,7,namecheap,,
0e95c00e-bd93-4899-b6d9-c8474fdbf232,generic.accountant,premium,125,37.99,medium,low,7,name.com,,
e53b9364-6eea-45b7-b2ad-21010a66237a,generals.best,available,23.08,,medium,low,8,namecheap,,
44cc650a-0b16-4ad9-8627-09e3e1696818,generals.audio,available,159.98,,medium,low,8,namecheap,,
cec32515-f439-4a33-9ab1-43b96ea97629,generic.voyage,available,9.99,83.99,medium,low,7,name.com,,
b9436b3f-96fe-478a-ae94-580bf73f7750,generic.how,premium,48.75,48.75,medium,low,7,name.com,,
4f07e1af-89e1-47a0-94a5-782438b92776,overall.zone,available,14.99,,high,low,7,name.com,,
d9dca487-00a1-4651-908c-27134ec88611,universal.zone,available,,,high,low,9,,,
c8acc7a5-79f4-4005-8ced-0d1d7137764c,generic.associates,available,12.98,49.98,medium,low,7,namecheap,,
b339da4d-efc2-4b83-a9c7-b45f14c700ea,assortment.fyi,available,6.98,9.68,low,low,10,namecheap,,
53b718b1-e722-4dbe-a2b3-572c64ed2e5e,generic.fan,available,11.99,71.99,medium,low,7,name.com,,
ce0fd9ab-6534-4f3b-ab60-b5b0c1cc8ed6,diverse.fish,available,14.99,56.99,medium,low,7,name.com,,
69468d08-c95f-449e-adf7-711280d6cf2a,general.shiksha,available,11.98,69.98,medium,low,7,namecheap,,
b4544435-c3bc-4d1c-826c-a3685d2a65f9,thorough.international,available,9.48,40.48,low,low,8,namecheap,,
50022c48-94e1-41fe-8847-e23f9429bb2f,generic.memorial,available,54.98,64.98,medium,low,7,namecheap,,
f2e3963e-7c28-415c-a03a-2c7fb45df96b,generals.haus,available,19.99,,medium,low,8,name.com,,
7cd2df6e-bd8a-4808-8b1a-05e4095ab97f,generals.rip,available,7.99,,medium,low,8,name.com,,
c363cddd-f43f-4730-a1bd-1aa74ab4787c,general.forsale,available,13.98,47.48,medium,low,7,namecheap,,
b1f39511-05e9-4588-bcaa-82d23b4c9675,primary.global,premium,3000,,high,low,7,name.com,,
3e5d6ad3-932d-42c9-a983-4b2a5b52dec7,blended.zone,available,8.98,51.98,medium,low,7,namecheap,,
624fe59c-9ffc-447d-91fd-289f8e989814,generic.press,available,9.99,43.48,medium,low,7,namecheap,,
2556e6e7-ce2c-4dd0-9ae9-960af333c335,primary.world,resell,,,high,low,7,Squarespace Domains II LLC,25/01/2019 21:16,25/01/2027 21:16
1cfed4a8-8a03-45e1-aec8-be3701f000ff,diverse.chat,available,5.98,58.98,medium,low,7,namecheap,,
72a12c78-3810-4f69-b1ea-48b221e8d976,main.space,premium,875,3500,high,low,4,namecheap,,
5825fc47-97d8-43d3-90da-71ffc46ceab9,general.app,resell,,,medium,low,7,"GoDaddy.com, LLC",06/05/2018 22:40,06/05/2027 22:40
0bffb4b8-450d-4414-be70-658010d548d6,generals.repair,available,9.99,,medium,low,8,name.com,,
32cfeb08-d5b1-4ccf-8d0c-1fa985cd7216,general.io,resell,,,medium,low,7,Dynadot Inc,20/02/2013 13:18,20/02/2027 13:18
c03002bc-55da-4148-83da-e1bc6ab27136,thorough.market,available,44.49,44.49,low,low,8,namesilo,,
03240cb7-a91e-470d-8979-0d7a1f9770f0,generals.wtf,available,5.99,,medium,low,8,name.com,,
9b5af3b0-5074-482e-935d-1cd068654497,customary.ltd,available,4.98,42.98,medium,low,9,namecheap,,
dafb543c-c3fb-47bc-b46a-e2c84ab12658,generals.boutique,available,6.99,,medium,low,8,name.com,,
e30c720f-33bf-4345-b253-0a6f6ebca98c,general.christmas,available,1.8,49.98,medium,low,7,namecheap,,
14878e0b-be20-498e-912d-36d6d91ba57a,generic.buzz,available,1.98,41.98,medium,low,7,namecheap,,
9d56820f-fcff-4058-bc1c-00f33ba0fbef,generic.clothing,available,19.99,46.99,medium,low,7,name.com,,
40699de1-bfc9-409d-aaa5-245a30102ab5,general.shoes,available,34.98,81.98,medium,low,7,namecheap,,
23850fd7-2cb8-4565-b802-0fd6a8b00c68,complete.xyz,resell,,,high,low,8,Dynadot LLC,16/09/2017 18:06,16/09/2030 23:59
06e3399e-9816-42f7-a4a7-c8eac0e7ff7c,inclusive.fish,available,14.99,56.99,low,low,9,name.com,,
5c216398-710d-4dd8-8f87-ae344951b936,general.direct,available,14.98,53.98,medium,low,7,namecheap,,
6d08982a-8551-4c7d-adea-7ede589b91d7,general.accountant,premium,1250,125,medium,low,7,name.com,,
5a0a3453-581d-46ab-b30a-bf8e1924f854,generals.productions,available,14.99,,medium,low,8,name.com,,
546eb744-9fa2-40be-ae20-e7adc3c25eb4,generic.digital,resell,,,medium,low,7,"Sav.com, LLC - 42",15/08/2026 15:15,15/08/2027 15:15
244c15db-f86a-41e4-af57-3b4222d317d8,inclusive.eu,resell,,,low,low,9,Name: Registrar.eu Website: https://www.openprovider.com,,
850b36c3-bbc9-416a-bf46-3bd3d2723dea,primary.international,available,14.99,,high,low,7,name.com,,
ff8dfad8-efdc-4708-9c7e-48f3b757c405,generic.exchange,available,5.98,49.98,medium,low,7,namecheap,,
c2356774-a4af-40b1-a616-9d0020931d11,inclusive.men,premium,437.5,62.5,low,low,9,name.com,,
d9eeb714-f388-4b1c-b9e6-7ae6b7339c18,general.equipment,available,19.99,41.99,medium,low,7,name.com,,
63ca15f5-8070-48ba-a565-2c42eb9ee225,diverse.miami,premium,47.2,21.24,medium,low,7,namesilo,,
